Ampara_2010_01	25.21,238
Batticaloa_2019_02	26.41,372
Batticaloa_2019_03	27.7,124
Batticaloa_2019_04	28.87,116
Batticaloa_2019_05	30.02,67
Batticaloa_2019_06	30.5,63
Batticaloa_2019_07	29.79,77
Batticaloa_2019_08	29.52,103
Batticaloa_2019_09	27.83,223
Batticaloa_2019_10	26.24,419
Batticaloa_2019_11	26.5,432
Batticaloa_2019_12	25.96,512
Batticaloa_2020_01	26.28,308
Batticaloa_2020_02	26.73,219
Batticaloa_2020_03	27.77,87
Batticaloa_2020_04	28.82,194
Batticaloa_2020_05	29.1,156
Batticaloa_2020_06	29.79,105
Batticaloa_2020_07	28.76,128
Batticaloa_2020_08	29.73,70
Batticaloa_2020_09	28.06,135
Batticaloa_2020_10	28.51,120
Batticaloa_2020_11	26.47,454
Batticaloa_2020_12	25.61,466
Batticaloa_2021_01	25.57,458
Batticaloa_2021_02	25.84,264
Batticaloa_2021_03	26.99,247
Batticaloa_2021_04	28.15,188
Batticaloa_2021_05	28.64,229
Batticaloa_2021_06	29.37,100
Batticaloa_2021_07	29.46,88
Batticaloa_2021_08	28.94,126
Batticaloa_2021_09	28.72,149
Batticaloa_2021_10	27.16,226
Batticaloa_2021_11	25.87,343
Batticaloa_2021_12	25.93,325
Batticaloa_2022_01	25.35,338
Batticaloa_2022_02	25.74,226
Batticaloa_2022_03	27.02,155
Batticaloa_2022_04	27.19,193
Batticaloa_2022_05	29.13,111
Batticaloa_2022_06	28.7,98
Batticaloa_2022_07	28.74,124
Batticaloa_2022_08	27.95,131
Batticaloa_2022_09	27.89,116
Batticaloa_2022_10	26.65,242
Batticaloa_2022_11	25.62,278
Batticaloa_2022_12	25.19,355
Batticaloa_2023_01	25.09,284
Batticaloa_2023_02	25.55,267
Batticaloa_2023_03	26.72,232
Batticaloa_2023_04	28.2,139
Batticaloa_2023_05	28.35,121
Batticaloa_2023_06	29.86,81
Batticaloa_2023_07	29.91,85
Batticaloa_2023_08	29.55,75
Batticaloa_2023_09	27.63,172
Batticaloa_2023_10	26.33,313
Batticaloa_2023_11	25.93,420
Batticaloa_2023_12	26.08,493
Batticaloa_2024_01	26.13,337
Batticaloa_2024_02	27.28,172
Batticaloa_2024_03	27.67,127
Batticaloa_2024_04	28.92,122
Batticaloa_2024_05	29.1,184
Batticaloa_2024_06	28.43,33
Colombo_2010_01	26.42,73
Colombo_2010_02	27.42,86
Colombo_2010_03	28.35,130
Colombo_2010_04	27.48,295
Colombo_2010_05	27.23,481
Colombo_2010_06	26.74,549
Colombo_2010_07	26.38,433
Colombo_2010_08	26.2,396
Colombo_2010_09	25.99,448
Colombo_2010_10	26.25,405
Colombo_2010_11	25.63,420
Colombo_2010_12	24.95,379
Colombo_2011_01	24.82,199
Colombo_2011_02	25.54,154
Colombo_2011_03	26.76,166
Colombo_2011_04	26.64,362
Colombo_2011_05	26.86,464
Colombo_2011_06	26.88,429
Colombo_2011_07	26.31,487
Colombo_2011_08	26.25,512
Colombo_2011_09	26.38,403
Colombo_2011_10	26.25,350
Colombo_2011_11	25.96,292
Colombo_2011_12	25.58,208
Colombo_2012_01	25.82,69
Colombo_2012_02	26.47,116
Colombo_2012_03	26.8,186
Colombo_2012_04	26.82,314
Colombo_2012_05	27.38,306
Colombo_2012_06	26.57,463
Colombo_2012_07	26.61,387
Colombo_2012_08	26.3,492
Colombo_2012_09	26.36,431
Colombo_2012_10	26.09,391
Colombo_2012_11	25.96,277
Colombo_2012_12	25.64,222
Colombo_2013_01	25.91,113
Colombo_2013_02	26.56,130
Colombo_2013_03	27.06,223
Colombo_2013_04	27.81,236
Colombo_2013_05	27.02,487
Colombo_2013_06	26.06,575
Colombo_2013_07	26.18,416
Colombo_2013_08	26.27,348
Colombo_2013_09	26.02,469
Colombo_2013_10	26.16,427
Colombo_2013_11	25.93,221
Colombo_2013_12	25.65,167
Colombo_2014_01	26.67,74
Colombo_2014_02	27.9,49
Colombo_2014_03	28.34,94
Colombo_2014_04	27.3,278
Colombo_2014_05	27.12,398
Colombo_2014_06	27.21,418
Colombo_2014_07	26.84,426
Colombo_2014_08	26.2,476
Colombo_2014_09	26.15,468
Colombo_2014_10	25.94,461
Colombo_2014_11	25.71,347
Colombo_2014_12	25.3,340
Colombo_2015_01	26.59,71
Colombo_2015_02	26.92,100
Colombo_2015_03	27.66,146
Colombo_2015_04	27.12,271
Colombo_2015_05	27.15,488
Colombo_2015_06	26.98,439
Colombo_2015_07	26.84,410
Colombo_2015_08	26.72,415
Colombo_2015_09	26.23,513
Colombo_2015_10	26.17,468
Colombo_2015_11	26.03,405
Colombo_2015_12	26.26,283
Colombo_2016_01	27.27,68
Colombo_2016_02	28.28,75
Colombo_2016_03	29.09,120
Colombo_2016_04	29.04,192
Colombo_2016_05	27.25,498
Colombo_2016_06	26.97,417
Colombo_2016_07	26.64,390
Colombo_2016_08	26.73,420
Colombo_2016_09	26.43,428
Colombo_2016_10	26.64,335
Colombo_2016_11	25.93,326
Colombo_2016_12	26.18,119
Colombo_2017_01	25.59,113
Colombo_2017_02	26.0,51
Colombo_2017_03	26.74,199
Colombo_2017_04	28.05,320
Colombo_2017_05	27.66,493
Colombo_2017_06	26.93,557
Colombo_2017_07	27.32,513
Colombo_2017_08	26.82,540
Colombo_2017_09	26.45,492
Colombo_2017_10	26.36,537
Colombo_2017_11	25.68,352
Colombo_2017_12	25.78,148
Colombo_2018_01	25.92,47
Colombo_2018_02	26.81,84
Colombo_2018_03	26.85,224
Colombo_2018_04	27.06,241
Colombo_2018_05	26.67,518
Colombo_2018_06	26.79,591
Colombo_2018_07	26.62,428
Colombo_2018_08	26.25,339
Colombo_2018_09	26.74,304
Colombo_2018_10	25.76,438
Colombo_2018_11	25.76,364
Colombo_2018_12	25.73,143
Colombo_2019_01	26.53,82
Colombo_2019_02	26.84,194
Colombo_2019_03	27.75,157
Colombo_2019_04	28.16,241
Colombo_2019_05	27.99,477
Colombo_2019_06	27.79,551
Colombo_2019_07	27.3,404
Colombo_2019_08	26.6,608
Colombo_2019_09	26.22,559
Colombo_2019_10	25.6,462
Colombo_2019_11	25.96,382
Colombo_2019_12	25.89,234
Colombo_2020_01	26.63,85
Colombo_2020_02	27.67,77
Colombo_2020_03	27.99,138
Colombo_2020_04	27.86,275
Colombo_2020_05	27.76,527
Colombo_2020_06	27.48,480
Colombo_2020_07	26.89,502
Colombo_2020_08	26.86,437
Colombo_2020_09	26.22,596
Colombo_2020_10	26.85,429
Colombo_2020_11	26.23,297
Colombo_2020_12	25.68,255
Colombo_2021_01	25.43,226
Colombo_2021_02	26.4,73
Colombo_2021_03	26.51,203
Colombo_2021_04	27.23,329
Colombo_2021_05	27.2,502
Colombo_2021_06	26.99,521
Colombo_2021_07	26.91,495
Colombo_2021_08	26.55,529
Colombo_2021_09	26.71,551
Colombo_2021_10	26.32,498
Colombo_2021_11	25.49,505
Colombo_2021_12	25.75,153
Colombo_2022_01	26.11,138
Colombo_2022_02	26.56,99
Colombo_2022_03	27.21,197
Colombo_2022_04	26.66,327
Colombo_2022_05	26.89,588
Colombo_2022_06	26.69,498
Colombo_2022_07	26.67,307
Colombo_2022_08	26.23,466
Colombo_2022_09	26.29,443
Colombo_2022_10	25.78,497
Colombo_2022_11	25.3,264
Colombo_2022_12	25.32,214
Colombo_2023_01	25.18,113
Colombo_2023_02	25.61,123
Colombo_2023_03	26.44,199
Colombo_2023_04	27.35,186
Colombo_2023_05	27.35,473
Colombo_2023_06	27.04,575
Colombo_2023_07	26.92,420
Colombo_2023_08	27.04,444
Colombo_2023_09	26.02,602
Colombo_2023_10	25.61,510
Colombo_2023_11	25.54,407
Colombo_2023_12	25.89,324
Colombo_2024_01	26.01,186
Colombo_2024_02	27.56,98
Colombo_2024_03	28.08,118
Colombo_2024_04	28.16,225
Colombo_2024_05	27.74,502
Colombo_2024_06	26.95,133
Galle_2010_01	26.04,124
Galle_2010_02	26.68,101
Galle_2010_03	27.63,145
Galle_2010_04	27.5,310
Galle_2010_05	27.19,438
Galle_2010_06	26.61,522
Galle_2010_07	26.41,358
Galle_2010_08	26.3,364
Galle_2010_09	26.02,404
Galle_2010_10	26.32,330
Galle_2010_11	25.73,362
Galle_2010_12	25.28,382
Galle_2011_01	25.19,237
Galle_2011_02	25.64,275
Galle_2011_03	26.45,229
Galle_2011_04	26.58,344
Galle_2011_05	26.83,381
Galle_2011_06	26.92,363
Galle_2011_07	26.24,434
Galle_2011_08	26.31,442
Galle_2011_09	26.53,303
Galle_2011_10	26.53,282
Galle_2011_11	26.11,315
Galle_2011_12	25.76,257
Galle_2012_01	25.49,148
Galle_2012_02	26.08,172
Galle_2012_03	26.72,215
Galle_2012_04	26.76,313
Galle_2012_05	27.31,236
Galle_2012_06	26.43,438
Galle_2012_07	26.55,336
Galle_2012_08	26.28,430
Galle_2012_09	26.25,439
Galle_2012_10	26.15,424
Galle_2012_11	26.08,331
Galle_2012_12	25.89,240
Galle_2013_01	25.85,169
Galle_2013_02	26.15,228
Galle_2013_03	27.02,231
Galle_2013_04	27.72,203
Galle_2013_05	26.99,429
Galle_2013_06	26.08,498
Galle_2013_07	26.13,379
Galle_2013_08	26.13,296
Galle_2013_09	26.04,425
Galle_2013_10	25.96,440
Galle_2013_11	26.13,240
Galle_2013_12	25.83,211
Galle_2014_01	25.89,144
Galle_2014_02	26.44,54
Galle_2014_03	27.67,76
Galle_2014_04	27.27,252
Galle_2014_05	27.14,360
Galle_2014_06	27.12,355
Galle_2014_07	26.61,388
Galle_2014_08	26.12,393
Galle_2014_09	25.98,465
Galle_2014_10	25.99,465
Galle_2014_11	25.91,345
Galle_2014_12	25.72,342
Galle_2015_01	25.82,140
Galle_2015_02	26.07,122
Galle_2015_03	27.02,133
Galle_2015_04	27.21,260
Galle_2015_05	27.18,451
Galle_2015_06	27.18,336
Galle_2015_07	26.86,346
Galle_2015_08	26.53,438
Galle_2015_09	26.26,468
Galle_2015_10	26.3,420
Galle_2015_11	26.21,387
Galle_2015_12	26.35,283
Galle_2016_01	26.76,83
Galle_2016_02	27.3,107
Galle_2016_03	28.32,127
Galle_2016_04	28.25,253
Galle_2016_05	27.27,513
Galle_2016_06	26.89,420
Galle_2016_07	26.52,309
Galle_2016_08	26.56,359
Galle_2016_09	26.36,331
Galle_2016_10	26.4,298
Galle_2016_11	25.98,344
Galle_2016_12	26.0,205
Galle_2017_01	25.49,141
Galle_2017_02	25.7,127
Galle_2017_03	26.65,220
Galle_2017_04	27.66,370
Galle_2017_05	27.31,511
Galle_2017_06	26.94,564
Galle_2017_07	27.26,521
Galle_2017_08	26.79,595
Galle_2017_09	26.61,525
Galle_2017_10	26.58,542
Galle_2017_11	25.95,355
Galle_2017_12	25.88,185
Galle_2018_01	25.52,127
Galle_2018_02	25.97,165
Galle_2018_03	26.69,241
Galle_2018_04	26.84,278
Galle_2018_05	26.67,569
Galle_2018_06	26.79,602
Galle_2018_07	26.61,497
Galle_2018_08	26.32,491
Galle_2018_09	26.54,388
Galle_2018_10	25.84,450
Galle_2018_11	25.96,364
Galle_2018_12	25.85,201
Galle_2019_01	25.6,163
Galle_2019_02	26.26,205
Galle_2019_03	26.83,193
Galle_2019_04	27.57,279
Galle_2019_05	27.61,545
Galle_2019_06	27.76,543
Galle_2019_07	27.19,500
Galle_2019_08	26.56,615
Galle_2019_09	26.22,583
Galle_2019_10	25.68,490
Galle_2019_11	26.03,359
Galle_2019_12	26.0,263
Galle_2020_01	26.42,143
Galle_2020_02	26.99,136
Galle_2020_03	27.82,127
Galle_2020_04	27.45,266
Galle_2020_05	27.59,569
Galle_2020_06	27.44,486
Galle_2020_07	26.89,482
Galle_2020_08	26.92,464
Galle_2020_09	26.33,584
Galle_2020_10	26.87,413
Galle_2020_11	26.24,347
Galle_2020_12	25.87,292
Galle_2021_01	25.45,306
Galle_2021_02	25.95,181
Galle_2021_03	26.38,260
Galle_2021_04	27.26,317
Galle_2021_05	27.29,473
Galle_2021_06	26.99,518
Galle_2021_07	26.8,565
Galle_2021_08	26.45,585
Galle_2021_09	26.65,593
Galle_2021_10	26.52,469
Galle_2021_11	25.83,492
Galle_2021_12	25.66,238
Galle_2022_01	25.48,173
Galle_2022_02	26.13,137
Galle_2022_03	26.84,232
Galle_2022_04	26.87,341
Galle_2022_05	26.87,620
Galle_2022_06	26.63,534
Galle_2022_07	26.63,368
Galle_2022_08	26.25,516
Galle_2022_09	26.32,450
Galle_2022_10	25.83,524
Galle_2022_11	25.63,280
Galle_2022_12	25.45,278
Galle_2023_01	24.96,169
Galle_2023_02	25.52,183
Galle_2023_03	26.21,220
Galle_2023_04	26.97,239
Galle_2023_05	27.39,491
Galle_2023_06	27.02,598
Galle_2023_07	26.7,492
Galle_2023_08	27.02,498
Galle_2023_09	26.06,574
Galle_2023_10	25.56,502
Galle_2023_11	25.57,414
Galle_2023_12	25.83,377
Galle_2024_01	25.82,247
Galle_2024_02	27.13,141
Galle_2024_03	27.48,175
Galle_2024_04	27.69,250
Galle_2024_05	27.41,485
Galle_2024_06	26.94,161
Gampaha_2010_01	26.25,47
Gampaha_2010_02	27.8,60
Gampaha_2010_03	28.58,114
Gampaha_2010_04	27.42,282
Gampaha_2010_05	27.06,451
Gampaha_2010_06	26.54,519
Gampaha_2010_07	26.22,424
Gampaha_2010_08	26.01,386
Gampaha_2010_09	25.84,438
Gampaha_2010_10	25.95,425
Gampaha_2010_11	25.48,420
Gampaha_2010_12	24.75,350
Gampaha_2011_01	24.67,180
Gampaha_2011_02	25.46,160
Gampaha_2011_03	26.89,158
Gampaha_2011_04	26.58,337
Gampaha_2011_05	26.75,404
Gampaha_2011_06	26.65,432
Gampaha_2011_07	26.1,511
Gampaha_2011_08	26.0,511
Gampaha_2011_09	26.19,408
Gampaha_2011_10	26.14,360
Gampaha_2011_11	25.89,264
Gampaha_2011_12	25.47,189
Gampaha_2012_01	25.83,56
Gampaha_2012_02	26.45,103
Gampaha_2012_03	26.95,177
Gampaha_2012_04	26.84,275
Gampaha_2012_05	27.34,263
Gampaha_2012_06	26.37,504
Gampaha_2012_07	26.39,425
Gampaha_2012_08	26.06,464
Gampaha_2012_09	26.21,427
Gampaha_2012_10	25.98,389
Gampaha_2012_11	25.87,237
Gampaha_2012_12	25.59,223
Gampaha_2013_01	25.64,78
Gampaha_2013_02	26.54,106
Gampaha_2013_03	27.0,216
Gampaha_2013_04	27.67,228
Gampaha_2013_05	26.82,457
Gampaha_2013_06	25.77,593
Gampaha_2013_07	25.92,446
Gampaha_2013_08	26.07,360
Gampaha_2013_09	25.79,472
Gampaha_2013_10	25.97,442
Gampaha_2013_11	25.88,173
Gampaha_2013_12	25.44,154
Gampaha_2014_01	26.12,61
Gampaha_2014_02	27.89,34
Gampaha_2014_03	28.82,88
Gampaha_2014_04	27.22,279
Gampaha_2014_05	26.97,352
Gampaha_2014_06	26.97,448
Gampaha_2014_07	26.55,457
Gampaha_2014_08	26.03,473
Gampaha_2014_09	25.98,469
Gampaha_2014_10	25.76,464
Gampaha_2014_11	25.53,329
Gampaha_2014_12	25.12,345
Gampaha_2015_01	26.5,40
Gampaha_2015_02	26.94,72
Gampaha_2015_03	27.55,139
Gampaha_2015_04	27.02,262
Gampaha_2015_05	26.96,433
Gampaha_2015_06	26.74,430
Gampaha_2015_07	26.59,422
Gampaha_2015_08	26.52,412
Gampaha_2015_09	26.07,477
Gampaha_2015_10	26.01,450
Gampaha_2015_11	25.86,362
Gampaha_2015_12	26.18,271
Gampaha_2016_01	27.28,34
Gampaha_2016_02	28.45,60
Gampaha_2016_03	29.26,116
Gampaha_2016_04	28.95,167
Gampaha_2016_05	27.01,501
Gampaha_2016_06	26.72,452
Gampaha_2016_07	26.45,397
Gampaha_2016_08	26.45,394
Gampaha_2016_09	26.19,402
Gampaha_2016_10	26.31,314
Gampaha_2016_11	25.85,293
Gampaha_2016_12	26.05,98
Gampaha_2017_01	25.99,114
Gampaha_2017_02	26.19,53
Gampaha_2017_03	26.62,214
Gampaha_2017_04	27.47,316
Gampaha_2017_05	27.08,464
Gampaha_2017_06	26.5,543
Gampaha_2017_07	26.91,498
Gampaha_2017_08	26.45,527
Gampaha_2017_09	26.06,471
Gampaha_2017_10	25.94,522
Gampaha_2017_11	25.4,340
Gampaha_2017_12	25.71,142
Gampaha_2018_01	26.24,57
Gampaha_2018_02	27.04,91
Gampaha_2018_03	26.7,195
Gampaha_2018_04	26.74,232
Gampaha_2018_05	26.26,484
Gampaha_2018_06	26.34,634
Gampaha_2018_07	26.38,436
Gampaha_2018_08	26.08,363
Gampaha_2018_09	26.48,302
Gampaha_2018_10	25.53,417
Gampaha_2018_11	25.55,364
Gampaha_2018_12	25.65,111
Gampaha_2019_01	26.77,71
Gampaha_2019_02	26.84,187
Gampaha_2019_03	27.56,131
Gampaha_2019_04	27.99,248
Gampaha_2019_05	27.59,460
Gampaha_2019_06	27.36,582
Gampaha_2019_07	26.92,445
Gampaha_2019_08	26.19,618
Gampaha_2019_09	25.88,568
Gampaha_2019_10	25.33,451
Gampaha_2019_11	25.78,349
Gampaha_2019_12	25.83,250
Gampaha_2020_01	27.05,80
Gampaha_2020_02	28.2,66
Gampaha_2020_03	28.0,156
Gampaha_2020_04	27.68,284
Gampaha_2020_05	27.5,511
Gampaha_2020_06	27.08,492
Gampaha_2020_07	26.5,480
Gampaha_2020_08	26.54,431
Gampaha_2020_09	25.82,603
Gampaha_2020_10	26.52,442
Gampaha_2020_11	26.03,295
Gampaha_2020_12	25.54,261
Gampaha_2021_01	25.42,214
Gampaha_2021_02	26.71,62
Gampaha_2021_03	26.63,188
Gampaha_2021_04	27.1,279
Gampaha_2021_05	26.85,510
Gampaha_2021_06	26.55,557
Gampaha_2021_07	26.6,503
Gampaha_2021_08	26.21,519
Gampaha_2021_09	26.32,567
Gampaha_2021_10	25.88,494
Gampaha_2021_11	25.02,492
Gampaha_2021_12	25.96,128
Gampaha_2022_01	26.3,129
Gampaha_2022_02	26.84,99
Gampaha_2022_03	27.07,182
Gampaha_2022_04	26.4,323
Gampaha_2022_05	26.44,595
Gampaha_2022_06	26.25,538
Gampaha_2022_07	26.5,319
Gampaha_2022_08	25.94,493
Gampaha_2022_09	25.94,460
Gampaha_2022_10	25.42,486
Gampaha_2022_11	25.13,265
Gampaha_2022_12	25.08,221
Gampaha_2023_01	25.18,116
Gampaha_2023_02	25.79,117
Gampaha_2023_03	26.41,200
Gampaha_2023_04	26.89,204
Gampaha_2023_05	26.94,444
Gampaha_2023_06	26.55,569
Gampaha_2023_07	26.51,454
Gampaha_2023_08	26.65,383
Gampaha_2023_09	25.51,572
Gampaha_2023_10	25.34,488
Gampaha_2023_11	25.31,368
Gampaha_2023_12	25.73,304
Gampaha_2024_01	26.01,188
Gampaha_2024_02	27.92,65
Gampaha_2024_03	28.1,95
Gampaha_2024_04	27.94,213
Gampaha_2024_05	27.25,488
Gampaha_2024_06	26.69,117
Hambantota_2010_01	26.05,56
Hambantota_2010_02	26.8,27
Hambantota_2010_03	28.25,57
Hambantota_2010_04	28.08,166
Hambantota_2010_05	27.92,182
Hambantota_2010_06	27.7,137
Hambantota_2010_07	27.93,64
Hambantota_2010_08	28.09,52
Hambantota_2010_09	27.62,128
Hambantota_2010_10	27.56,96
Hambantota_2010_11	26.21,248
Hambantota_2010_12	25.41,255
Hambantota_2011_01	24.91,221
Hambantota_2011_02	25.63,154
Hambantota_2011_03	26.55,132
Hambantota_2011_04	26.92,188
Hambantota_2011_05	27.67,84
Hambantota_2011_06	28.22,44
Hambantota_2011_07	27.92,58
Hambantota_2011_08	27.71,128
Hambantota_2011_09	27.85,125
Hambantota_2011_10	27.49,197
Hambantota_2011_11	26.2,246
Hambantota_2011_12	25.73,208
Hambantota_2012_01	25.8,59
Hambantota_2012_02	26.42,82
Hambantota_2012_03	27.43,104
Hambantota_2012_04	27.22,180
Hambantota_2012_05	28.45,33
Hambantota_2012_06	27.93,82
Hambantota_2012_07	28.28,39
Hambantota_2012_08	27.82,133
Hambantota_2012_09	27.65,142
Hambantota_2012_10	26.79,332
Hambantota_2012_11	26.2,294
Hambantota_2012_12	25.59,246
Hambantota_2013_01	25.55,123
Hambantota_2013_02	26.16,108
Hambantota_2013_03	27.01,154
Hambantota_2013_04	28.26,85
Hambantota_2013_05	27.97,123
Hambantota_2013_06	27.39,91
Hambantota_2013_07	27.73,46
Hambantota_2013_08	27.87,27
Hambantota_2013_09	27.48,112
Hambantota_2013_10	27.21,155
Hambantota_2013_11	26.44,191
Hambantota_2013_12	25.75,148
Hambantota_2014_01	26.02,75
Hambantota_2014_02	27.09,20
Hambantota_2014_03	28.32,36
Hambantota_2014_04	28.26,145
Hambantota_2014_05	28.04,126
Hambantota_2014_06	28.96,26
Hambantota_2014_07	28.54,26
Hambantota_2014_08	27.92,68
Hambantota_2014_09	27.64,113
Hambantota_2014_10	26.69,240
Hambantota_2014_11	26.06,261
Hambantota_2014_12	25.63,319
Hambantota_2015_01	26.01,48
Hambantota_2015_02	26.19,52
Hambantota_2015_03	27.06,88
Hambantota_2015_04	27.21,192
Hambantota_2015_05	27.73,170
Hambantota_2015_06	28.32,86
Hambantota_2015_07	28.29,55
Hambantota_2015_08	27.97,115
Hambantota_2015_09	27.35,233
Hambantota_2015_10	26.81,298
Hambantota_2015_11	26.38,273
Hambantota_2015_12	26.15,255
Hambantota_2016_01	26.82,19
Hambantota_2016_02	27.42,56
Hambantota_2016_03	28.58,44
Hambantota_2016_04	28.69,152
Hambantota_2016_05	27.76,257
Hambantota_2016_06	27.86,91
Hambantota_2016_07	28.12,54
Hambantota_2016_08	28.2,42
Hambantota_2016_09	28.11,20
Hambantota_2016_10	28.03,60
Hambantota_2016_11	26.47,236
Hambantota_2016_12	26.53,100
Hambantota_2017_01	26.59,122
Hambantota_2017_02	26.71,107
Hambantota_2017_03	27.22,224
Hambantota_2017_04	28.75,157
Hambantota_2017_05	28.57,142
Hambantota_2017_06	28.19,141
Hambantota_2017_07	28.9,100
Hambantota_2017_08	28.39,104
Hambantota_2017_09	27.55,202
Hambantota_2017_10	27.77,177
Hambantota_2017_11	26.38,374
Hambantota_2017_12	26.2,197
Hambantota_2018_01	26.29,85
Hambantota_2018_02	26.46,99
Hambantota_2018_03	27.07,194
Hambantota_2018_04	27.42,266
Hambantota_2018_05	27.28,322
Hambantota_2018_06	27.31,291
Hambantota_2018_07	28.1,100
Hambantota_2018_08	28.02,92
Hambantota_2018_09	27.84,148
Hambantota_2018_10	26.4,362
Hambantota_2018_11	26.19,341
Hambantota_2018_12	26.14,156
Hambantota_2019_01	26.82,85
Hambantota_2019_02	27.22,165
Hambantota_2019_03	27.8,139
Hambantota_2019_04	28.24,205
Hambantota_2019_05	28.51,199
Hambantota_2019_06	28.65,203
Hambantota_2019_07	28.28,188
Hambantota_2019_08	27.32,362
Hambantota_2019_09	26.8,390
Hambantota_2019_10	26.14,454
Hambantota_2019_11	26.29,376
Hambantota_2019_12	26.06,298
Hambantota_2020_01	26.9,105
Hambantota_2020_02	27.27,75
Hambantota_2020_03	28.05,65
Hambantota_2020_04	28.39,222
Hambantota_2020_05	28.45,210
Hambantota_2020_06	28.8,124
Hambantota_2020_07	27.96,209
Hambantota_2020_08	28.05,189
Hambantota_2020_09	27.48,230
Hambantota_2020_10	28.27,137
Hambantota_2020_11	27.03,303
Hambantota_2020_12	26.53,266
Hambantota_2021_01	25.95,264
Hambantota_2021_02	27.03,111
Hambantota_2021_03	27.18,207
Hambantota_2021_04	28.28,175
Hambantota_2021_05	28.28,275
Hambantota_2021_06	28.42,131
Hambantota_2021_07	28.12,167
Hambantota_2021_08	27.88,170
Hambantota_2021_09	27.93,177
Hambantota_2021_10	27.32,230
Hambantota_2021_11	26.48,272
Hambantota_2021_12	26.3,221
Hambantota_2022_01	26.53,133
Hambantota_2022_02	27.2,87
Hambantota_2022_03	27.65,180
Hambantota_2022_04	27.52,214
Hambantota_2022_05	27.8,262
Hambantota_2022_06	27.64,136
Hambantota_2022_07	28.12,150
Hambantota_2022_08	27.51,170
Hambantota_2022_09	27.55,131
Hambantota_2022_10	27.23,188
Hambantota_2022_11	26.37,248
Hambantota_2022_12	25.93,220
Hambantota_2023_01	26.23,124
Hambantota_2023_02	26.68,155
Hambantota_2023_03	27.25,186
Hambantota_2023_04	28.11,210
Hambantota_2023_05	28.4,168
Hambantota_2023_06	28.74,78
Hambantota_2023_07	28.21,141
Hambantota_2023_08	28.7,117
Hambantota_2023_09	26.84,344
Hambantota_2023_10	26.15,410
Hambantota_2023_11	26.01,384
Hambantota_2023_12	26.25,335
Hambantota_2024_01	26.36,219
Hambantota_2024_02	27.84,96
Hambantota_2024_03	28.0,131
Hambantota_2024_04	28.47,239
Hambantota_2024_05	28.14,376
Hambantota_2024_06	27.59,125
Jaffna_2010_01	25.82,81
Jaffna_2010_02	26.45,0
Jaffna_2010_03	28.4,20
Jaffna_2010_04	29.84,114
Jaffna_2010_05	29.77,107
Jaffna_2010_06	29.16,96
Jaffna_2010_07	28.77,77
Jaffna_2010_08	28.37,143
Jaffna_2010_09	27.63,170
Jaffna_2010_10	27.54,210
Jaffna_2010_11	26.32,430
Jaffna_2010_12	25.36,377
Jaffna_2011_01	25.1,244
Jaffna_2011_02	25.71,143
Jaffna_2011_03	27.51,46
Jaffna_2011_04	28.32,197
Jaffna_2011_05	29.08,22
Jaffna_2011_06	29.25,26
Jaffna_2011_07	28.58,107
Jaffna_2011_08	28.26,128
Jaffna_2011_09	28.4,122
Jaffna_2011_10	27.38,350
Jaffna_2011_11	26.19,426
Jaffna_2011_12	25.76,218
Jaffna_2012_01	25.35,58
Jaffna_2012_02	26.44,30
Jaffna_2012_03	28.14,30
Jaffna_2012_04	28.92,104
Jaffna_2012_05	29.3,12
Jaffna_2012_06	28.9,18
Jaffna_2012_07	28.91,58
Jaffna_2012_08	28.37,104
Jaffna_2012_09	28.56,84
Jaffna_2012_10	27.02,385
Jaffna_2012_11	26.64,161
Jaffna_2012_12	26.01,237
Jaffna_2013_01	25.77,60
Jaffna_2013_02	26.37,88
Jaffna_2013_03	27.66,107
Jaffna_2013_04	29.73,59
Jaffna_2013_05	29.62,55
Jaffna_2013_06	28.69,81
Jaffna_2013_07	28.4,58
Jaffna_2013_08	28.04,113
Jaffna_2013_09	27.85,139
Jaffna_2013_10	27.93,139
Jaffna_2013_11	26.44,298
Jaffna_2013_12	25.42,179
Jaffna_2014_01	25.05,189
Jaffna_2014_02	25.95,51
Jaffna_2014_03	27.77,3
Jaffna_2014_04	29.43,51
Jaffna_2014_05	28.98,138
Jaffna_2014_06	29.8,9
Jaffna_2014_07	29.32,35
Jaffna_2014_08	28.25,140
Jaffna_2014_09	28.41,120
Jaffna_2014_10	27.22,370
Jaffna_2014_11	26.13,409
Jaffna_2014_12	25.36,433
Jaffna_2015_01	25.62,71
Jaffna_2015_02	26.08,88
Jaffna_2015_03	27.81,62
Jaffna_2015_04	28.61,166
Jaffna_2015_05	28.69,194
Jaffna_2015_06	29.05,75
Jaffna_2015_07	29.0,55
Jaffna_2015_08	28.72,91
Jaffna_2015_09	28.46,136
Jaffna_2015_10	27.46,361
Jaffna_2015_11	26.37,464
Jaffna_2015_12	26.32,385
Jaffna_2016_01	26.35,65
Jaffna_2016_02	27.23,65
Jaffna_2016_03	28.7,15
Jaffna_2016_04	30.38,65
Jaffna_2016_05	29.52,176
Jaffna_2016_06	29.06,104
Jaffna_2016_07	28.65,105
Jaffna_2016_08	28.87,57
Jaffna_2016_09	28.51,29
Jaffna_2016_10	28.17,115
Jaffna_2016_11	26.69,290
Jaffna_2016_12	25.83,177
Jaffna_2017_01	25.21,156
Jaffna_2017_02	25.39,28
Jaffna_2017_03	27.71,146
Jaffna_2017_04	29.7,45
